,classname,accuracy,true positive rate,false positive rate,false negative rate
0,01-lighthouse,100.0,100.0,0.0,0.0
1,03-bridge-1,100.0,100.0,0.0,0.0
2,04-bridge,100.0,100.0,0.0,0.0
3,05-silo,100.0,100.0,0.0,0.0
4,06-church,100.0,100.0,0.0,0.0
5,07-supermarket,75.0,100.0,1.1764705882352942,0.0
6,08-courthouse,66.66666666666666,66.66666666666666,0.0,33.33333333333333
7,09-airport,0.0,0.0,0.0,100.0
8,10-bench,100.0,100.0,0.0,0.0
9,11-trash,100.0,100.0,0.0,0.0
10,12-bus,100.0,100.0,0.0,0.0
11,15-barn,100.0,100.0,0.0,0.0
12,19-prison,100.0,100.0,0.0,0.0
13,20-atm,100.0,100.0,0.0,0.0
14,21-solar-panel,100.0,100.0,0.0,0.0
15,23-traffic-light,100.0,100.0,0.0,0.0
16,24-fountain,100.0,100.0,0.0,0.0
17,25-factory,100.0,100.0,0.0,0.0
18,26-shop,100.0,100.0,0.0,0.0
19,27-gas-station,100.0,100.0,0.0,0.0
20,28-government,100.0,100.0,0.0,0.0
21,29-theater,100.0,100.0,0.0,0.0
22,31-field,100.0,100.0,0.0,0.0
23,32-van,100.0,100.0,0.0,0.0
24,33-hydrant,100.0,100.0,0.0,0.0
25,34-billboard,100.0,100.0,0.0,0.0
26,35-police,100.0,100.0,0.0,0.0
27,36-hotel,100.0,100.0,0.0,0.0
28,37-post-office,100.0,100.0,0.0,0.0
29,38-library,0.0,0.0,0.0,100.0
30,41-windmill,100.0,100.0,0.0,0.0
31,42-tractor,100.0,100.0,0.0,0.0
32,43-sign,40.0,50.0,1.1627906976744187,50.0
33,44-ferris-wheel,100.0,100.0,0.0,0.0
34,45-museum,100.0,100.0,0.0,0.0
35,46-fire-station,100.0,100.0,0.0,0.0
36,47-restaurant,100.0,100.0,0.0,0.0
37,49-school,100.0,100.0,0.0,0.0
38,50-cemetery,100.0,100.0,0.0,0.0
